Datum	Event_Name	Venue
2022-10-03	charhizma presents: Catalytic Sounds: Tort...	porgy&bess
2022-10-04	19-21h urbanize!	echoraeume
2022-10-06	free music forum: Hautzinger & Duthoit & S...	celeste
2022-10-06	Finissage: HALL (Benjamin Tomasi & Samuel ...	echoraum
2022-10-06	19-21h urbanize!	echoraeume
2022-10-07	on the couch #72 - Ackermann/Meier	studio eberhard
2022-10-07	19-21h urbanize!	echoraeume
2022-10-07	stefan geissler + band (sg+b)/sebastian meyer	central garden
2022-10-08	Luna Alcalay: Gedenkkonzert & Ausstellung	echoraum
2022-10-08	10-18h urbanize!	echoraeume
2022-10-08	Eric Arn / Eyal Maoz(US) album release w/ ...	celeste
2022-10-09	Duthoit | Eberhard | noid	ruprechtskirche
2022-10-10	monday improvisers session	celeste
2022-10-11	Nachhall #3	echoraum
2022-10-12	Bertoncini/Rombolà · Hvizdalek/Lercher	echoraum
2022-10-16	AiR - Neue Musik St.Ruprecht	ruprechtskirche
2022-10-17	monday improvisers session	celeste
2022-10-19	re_composed 2022 (Tag 1)	echoraum
2022-10-19	19h30! DerBloedeDritteMittwoch#121	ateliertheater
2022-10-20	re_composed 2022 (Tag 2)	echoraum
2022-10-21	re_composed 2022 (Tag 3)	echoraum
2022-10-21	on the couch #73 - Hui Ye/ Alexander J. Eb...	studio eberhard
2022-10-21	moozak multichannel series #02 / elak conc...	klangtheater
2022-10-22	re_composed 2022 (Tag 4)	echoraum
2022-10-22	charhizma presents: catalytic sounds#7: Ke...	porgy&bess
2022-10-22	smallforms	chateau rouge
2022-10-24	monday improvisers session	celeste
2022-10-28	Vítková · Dahl · Matbou Riahi	echoraum
2022-10-29	Die Scham	volkstheater
2022-10-29	beauchamp*geissler (+ budokan boys)	central garden
2022-10-30	11:00 Studio Dan @ Wien Modern	alte schmiede
2022-10-31	monday improvisers session	celeste
2022-11-03	free music forum: ISM: Thomas & Grip & Gerbal	celeste
2022-11-03	KNH-Open House Special: Fotoshow PYRENÄEN	cafe max
2022-11-05	small robots, lizard ensemble	porgy&bess
2022-11-05	on the couch #74 - Herbert/Herbert/Herbert	studio eberhard
2022-11-07	KlezMore Festival	cafe max
2022-11-07	monday improvisers session	celeste
2022-11-10	KNH-Open House Special: Kong Fusion	cafe max
2022-11-11	BRAUCHEN @ Reaktor / Wien Modern (premiere...	reaktor
2022-11-12	BRAUCHEN @ Reaktor / Wien Modern – 19h30	reaktor
2022-11-12	beauchamp*geissler / finissage axel koschier	xian
2022-11-14	KlezMore Festival	cafe max
2022-11-14	monday improvisers session	celeste
2022-11-15	on the couch #75 - Alexanderr J. Eberhard ...	studio eberhard
2022-11-15	P:Y:G blueht Album-Release	im spitzer
2022-11-16	Chang / Hautzinger / Klement	alte schmiede
2022-11-16	22h DerBloedeDritteMittwoch#122	klangtheater
2022-11-17	KNH-Open House Special: Proventza	cafe max
2022-11-18	Hanne De Backer / Christof Kurzmann at Str...	porgy&bess
2022-11-19	smallforms	chateau rouge
2022-11-19	20h Studio Session #5	westbahnstudios
2022-11-21	monday improvisers session	celeste
2022-11-23	KNH-Signs over Wo:men #7	cafe max
