Datum,Venue,Event_Name,Event_Typ,Bezirk,Kuenstler:innen,Veranstalter,Verein,Foerderung_ref,Quelle,Programm
2022-02-02,echoraum,Finissage Anat Stainberg: An everlasting performance,Finissage | Performance,15,Anat Stainberg,echoraum,echoraum Vereinigung zur Förderung der Kulturkommunikation,MA7 | BMKöS | SKE,https://klingt.org/gro.tgnilk/events/12670/index.html?sid=14298401013344652,echoraum
2022-02-02,Studio Eberhard,On the Couch #67 - Trio Affogato,Konzert,3,Trio Affogato,Studio Eberhard,On the Couch - zur Förderung von Kunst und Kultur in der Gesellschaft,MA7 | BMKöS | Bezirk Landstrasse (3. Bezirk),https://klingt.org/gro.tgnilk/events/12708/index.html?sid=14298401013344652,On the Couch
2022-02-02,Porgy & Bess Jazz& Music Club,Anthropods,Konzert,1,Mark Holub | Clemens Sainitzer | Irene Kepl | Susanna Gartmayer | Jakob Gnigler,Porgy & Bess,Jazz & Musicclub Porgy & Bess,MA7 | BMKöS,https://klingt.org/gro.tgnilk/events/12709/index.html?sid=14298401013344652,Porgy & Bess
2022-02-11,Alte Schmiede,Hammer im Staub - Berkson/Bruckmayr/Fuchs/Schiller,Konzert,1,Judith Berkson | Didi Bruckmayr | Wolfgang Fuchs,Alte Schmiede,KUNSTVEREIN WIEN,MA7,https://klingt.org/gro.tgnilk/events/12719/index.html?sid=14298401013344652,Hammer im Staub
2022-02-23,Porgy & Bess Jazz& Music Club,So Sner - REIME Plattenpräsentation,Konzert,1,Susanna Gartmayer | Stefan Schneider,Porgy & Bess,Jazz & Musicclub Porgy & Bess,MA7,https://klingt.org/gro.tgnilk/events/12718/index.html?sid=14298401013344652,So Sner
2022-03-01,Westbahnstudios,Studio Session #1 - Studio Dan,Konzert,7,Studio Dan | Damaris Richerts | Domnik Fuss | Werner Angerer,Westbahnstudios,Studio Dan - Verein für Neue Musik,MA7,https://klingt.org/gro.tgnilk/events/12722/index.html?sid=14298401013344652,Studio Session #1
2022-03-03,Porgy & Bess Jazz& Music Club,For Poets & Writers - Monumentum Marina Zwetajewa,Konzertreihe,1,Angelica Castello | Tobias Leibetseder | Renald Deppe | Anna Hauf,Porgy & Bess,Jazz & Musicclub Porgy & Bess,MA7,https://klingt.org/gro.tgnilk/events/12748/index.html?sid=14298401013344652,For Poets & Writers
2022-03-04,Porgy & Bess Jazz& Music Club,For Poets & Writers - Monumentum Agnes Heller,Konzertreihe,1,Judith Ferstl | Tobias Leibetseder | Renald Deppe | Ulla Pilz,Porgy & Bess,Jazz & Musicclub Porgy & Bess,MA7,https://klingt.org/gro.tgnilk/events/12749/index.html?sid=14298401013344652,For Poets & Writers
2022-03-06,Porgy & Bess Jazz& Music Club,For Poets & Writers - In memoriam Wislawa Szymborska,Konzertreihe,1,Isabella Forciniti | Tobias Leibetseder | Renald Deppe | Johanna von der Deken,Porgy & Bess,Jazz & Musicclub Porgy & Bess,MA7,https://klingt.org/gro.tgnilk/events/12750/index.html?sid=14298401013344652,For Poets & Writers
2022-03-09,Alte Schmiede,Zimt - CD Presentation,Konzert,1,Angelica Castello | Barbara Romen | Kai Fagaschinski | Burkhard Stangl | Gunter Schneider,Alte Schmiede,KUNSTVEREIN WIEN,MA7,https://klingt.org/gro.tgnilk/events/12671/index.html?sid=14298401013344652,Zimt
