Verein	Jahr	Betrag_EUR	Projekttitel	Status	Quelle
TONSPUR	2022	2000	STREAMERS - a COVID Sculpture LIVE	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Unsafe+Sounds	2023	3500	Unsafe+Sounds Festival 2023	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
Verein für Kunstvermischung	2022	2000	Der blöde dritte Mittwoch im Ateliertheater	Bestätigt (Abgleich mit bestehendem Programm)	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Verein zur Förderung von Subkultur	2023	1000	Salon skug auf Rädern	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
Verein zur Förderung von Subkultur	2024	1500	Salon skug auf Rädern	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
czirp czirp	2022	800	CLUB RADIOKOJE 2022	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
czirp czirp	2023	1800	SONIC CELL + CLUB RADIOKOJE HOLDING BREATH	Bestätigt (zeilenweise gegen KKW-Quelle verifiziert, 6. Juli)	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
czirp czirp	2024	3400	KLANGCHAIN + CLUB RADIOKOJE	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
tonWerk	2022	3800	Hietzinger/Penzinger/Währinger Konzerte	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
tonWerk	2023	2300	Hietzinger/Penzinger Konzerte	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
tonWerk	2024	1000	Hietzinger Schlosskonzert	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
