Datum , Venue , Event_Name , Event_Typ , Bezirk ,Kuenstler:innen, Veranstalter , Foerderung_ref , Quelle,,,,,,
2022-02-02,Echoraeume,Räume für Notizen // nach Ulysses,Konzert,17,keine Info,Echoraume,,https://klingt.org/gro.tgnilk/events/12638/index.html?sid=14298401013344652,,,,,,
2022-02-02,Echoraum,Finissage Anat Stainberg: An everlasting performance,Finissage/Performance,15,Anat Stainberg,echoraum,,https://klingt.org/gro.tgnilk/events/12670/index.html?sid=14298401013344652,,,,,,
2022-02-02,Studio Eberhard,On the Couch #67 - Trio Affogato,Konzert,3,Trio Affogato,Studio Eberhard,,https://klingt.org/gro.tgnilk/events/12708/index.html?sid=14298401013344652,,,,,,
2022-02-02,Porgy & Bess,Anthropods,Konzert,1,Mark Holub | Clemens Sainitzer | Irene Kepl | Susanna Gartmayer | Jakob Gnigler,Porgy & Bess,,https://klingt.org/gro.tgnilk/events/12709/index.html?sid=14298401013344652,,,,,,
2022-02-03,Radio OE1,Zeitton - broadcast,Radiosendung,1,[completar],Susanna Niedermayr | Radio OE1,,https://klingt.org/gro.tgnilk/events/12702/index.html?sid=14298401013344652,,,,,,
2022-02-04,Echoraeume,Räume für Notizen // nach Ulysses,Konzert,17,keine Info,Echoraume,,https://klingt.org/gro.tgnilk/events/12639/index.html?sid=14298401013344652,,,,,,
2022-02-05,Radio OE1,Die Vitaminlüge - Hörspiel,Radiosendung,1,Daniel Wisser,Radio OE1,,https://klingt.org/gro.tgnilk/events/12684/index.html?sid=14298401013344652,,,,,,
2022-02-10,Radio OE1,Zeitton - Noche de los Muertos 2021 #2,Radiosendung,1,Burkhard Stangl | Angelica Castello | Billy Roisz,Radio OE1,,https://klingt.org/gro.tgnilk/events/12703/index.html?sid=14298401013344652,,,,,,
2022-02-11,Alte Schmiede,Hammer im Staub - Berkson/Bruckmayr/Fuchs/Schiller,Konzert,1,Judith Berkson | Didi Bruckmayr | Wolfgang Fuchs,Alte Schmiede,,https://klingt.org/gro.tgnilk/events/12719/index.html?sid=14298401013344652,,,,,,
2022-02-23,Porgy & Bess,So Sner - REIME Plattenpräsentation,Konzert,1,Susanna Gartmayer | Stefan Schneider,Porgy & Bess,,https://klingt.org/gro.tgnilk/events/12718/index.html?sid=14298401013344652,,klingt.org,gro.tgnilk,events,12718,
2022-03-01,Westbahnstudios,Studio Session #1 - Studio Dan,Konzert,7,Studio Dan | Damaris Richerts | Domnik Fuss | Werner Angerer,Westbahnstudios,,https://klingt.org/gro.tgnilk/events/12722/index.html?sid=14298401013344652,,klingt.org,gro.tgnilk,events,12722,
2022-03-03,Porgy & Bess,For Poets & Writers - Monumentum Marina Zwetajewa,Konzertreihe,1,Angelica Castello | Tobias Leibetseder | Renald Deppe | Anna Hauf,Porgy & Bess,,https://klingt.org/gro.tgnilk/events/12748/index.html?sid=14298401013344652,,klingt.org,gro.tgnilk,events,12748,
2022-03-04,Porgy & Bess,For Poets & Writers - Monumentum Agnes Heller,Konzertreihe,1,Judith Ferstl | Tobias Leibetseder | Renald Deppe | Ulla Pilz,Porgy & Bess,,https://klingt.org/gro.tgnilk/events/12749/index.html?sid=14298401013344652,,klingt.org,gro.tgnilk,events,12749,
2022-03-06,Porgy & Bess,For Poets & Writers - In memoriam Wislawa Szymborska,Konzertreihe,1,Isabella Forciniti | Tobias Leibetseder | Renald Deppe | Johanna von der Deken,Porgy & Bess,,https://klingt.org/gro.tgnilk/events/12750/index.html?sid=14298401013344652,,klingt.org,gro.tgnilk,events,12750,
2022-03-09,Alte Schmiede,Zimt - CD Presentation,Konzert,1,Angelica Castello | Barbara Romen | Kai Fagaschinski | Burkhard Stangl | Gunter Schneider,Alte Schmiede,,https://klingt.org/gro.tgnilk/events/12671/index.html?sid=14298401013344652,,klingt.org,gro.tgnilk,events,12671,
2022-03-10,Alte Schmiede,Auf der Welle von Frau Stohr,Performance,1,Lisa Spalt | Sabine Marte | Oliver Stotz,Alte Schmiede,,https://klingt.org/gro.tgnilk/events/12759/index.html?sid=14298401013344652,,klingt.org,gro.tgnilk,events,12759,
2022-03-14,Celeste,Monday Improvisers Session,Konzertreihe,5,Didi Kern | Laura Pudelek,Celeste,,https://klingt.org/gro.tgnilk/events/12763/index.html?sid=14298401013344652,,klingt.org,gro.tgnilk,events,12763,
2022-03-16,Replugged,10 Jahre Bloeder 3. Mittwoch,Konzertreihe,7,Tim Shaw | dieb13 | Katharina Ernst | Doris Uhlich | Bernhard Breuer | Ralf Tronstoner | Christoph Kurzmann,Replugged,,https://klingt.org/gro.tgnilk/events/12762/index.html?sid=14298401013344652,,,klingt.org,gro.tgnilk,events,12762
2022-03-16,Theater am Werk,Da war ich nicht mehr da - Premiere,Theater,2,KMET | Leni Plöchl,Theater am Werk,,https://klingt.org/gro.tgnilk/events/12775/index.html?sid=14298401013344652,,,klingt.org,gro.tgnilk,events,12775
2022-03-17,LOK Leben ohne Krankenhaus,KMET solo - Vernissage und Konzert,Konzert,2,KMET,LOK,,https://klingt.org/gro.tgnilk/events/12772/index.html?sid=14298401013344652,,,klingt.org,gro.tgnilk,events,12772
2022-03-18,Theater am Werk,Da war ich nicht mehr da,Theater,2,KMET | Leni Plöchl,Theater am Werk,,https://klingt.org/gro.tgnilk/events/12776/index.html?sid=14298401013344652,,,klingt.org,gro.tgnilk,events,12776
2022-03-18,Setzkasten Wien,Kastenkonzert #37,Konzertreihe,17,Ferro Taylor | Julie C. Stamm | Fließgewässer | Lukas Kannemann,Setzkasten Wien,,https://klingt.org/gro.tgnilk/events/12791/index.html?sid=14298401013344652,,,klingt.org,gro.tgnilk,events,12791
2022-03-21,Celeste,Monday Improvisers Session,Konzertreihe,5,Thomas Berghammer | Phillip Quehenberger | Nik Hummer,Celeste,,https://klingt.org/gro.tgnilk/events/12764/index.html?sid=14298401013344652,,,klingt.org,gro.tgnilk,events,12764
2022-03-22,Stadtkino im Künstlerhaus,Martin Siewert - Moving Images and Static Sounds,Konzert,1,Martin Siewert | Angela Christlieb | Michaela Grill | Billy Roisz | Fennesz,Stadtkino im Künstlerhaus,,https://klingt.org/gro.tgnilk/events/12794/index.html?sid=14298401013344652,,,klingt.org,gro.tgnilk,events,12794
2022-03-24,Replugged,Quehenberger-Kern - Uz Jsme Doma - Fil OK,Konzert,7,Quehenberger | Didi Kern | Uz Jsme Doma,Replugged,,https://klingt.org/gro.tgnilk/events/12828/index.html?sid=14298401013344652,,,klingt.org,gro.tgnilk,events,12828
2022-03-25,Porgy & Bess,Charhizma presents - KONK PACK,Konzert,1,Tim Hodgkinson | Roger Turner | Thomas Lehn,Porgy & Bess,,https://klingt.org/gro.tgnilk/events/12788/index.html?sid=14298401013344652,,,klingt.org,gro.tgnilk,events,12788
2022-03-25,Echoraum,Schmoliner-Breuer - Harnik-Kern,Konzert,15,Ingrid Schmoliner | Bernhard Breuer | Elisabeth Harnik | Didi Kern,Echoraum,,https://klingt.org/gro.tgnilk/events/12830/index.html?sid=14298401013344652,,,klingt.org,gro.tgnilk,events,12830
