Jahr,BMKöS,BMWKmS,Bezirkskultur,MA7
2022.0,1118530.0,0.0,70600.0,2022800.0
2023.0,1301730.0,0.0,59700.0,2846000.0
2024.0,1483750.0,0.0,72800.0,2577500.0
2025.0,534500.0,0.0,47800.0,3380417.0
2026.0,132000.0,160000.0,1800.0,3119000.0
2027.0,0.0,60000.0,0.0,0.0
