datum;event_name;venue
2022-03-27;Mrm Trio  (Džukljev / Herbst / Gladović)...;artists
2022-03-27;KNH-Sonntagskind23: Alex Miksch + Band;echoraeume fs2
2022-03-27;Martin Siewert / Maja Osojnik at STREAMERS...;tonspur festival / anitta-m...
2022-03-28;Klara Lewis, Fru Fru (Maja Osojnik & Angé...;rhiz
2022-03-28;monday improvisers session;celeste
2022-03-28;GOD IS A BAND  Music: KMET;dschungel - theaterhaus fue...
2022-03-31;20h Studio Session #2;westbahnstudios
2022-03-31;[screening] one corner of paradise;k3 filmfestival
2022-04-01;FÄNGE · simulacrumbs modulated;echoraum
2022-04-04;Styrian Improvisers Orchestra Feat. Steve ...;stockwerk
2022-04-04;monday improvisers session;celeste
2022-04-06;Kern / Holub / Fischerlehner;strenge kammer / porgy & bess
2022-04-06;[screening] do they speak color ?;diagonale
2022-04-07;fmf presents: M. Thieke & H. Göregen / DJ...;celeste
2022-04-08;DISHES;rote bar im volkstheater
2022-04-08;[screening] do they speak color ?;diagonale
2022-04-08;muscle tomcat machine;ppc
2022-04-08;NYX / Strata;suddenlylisten / the music ...
2022-04-09;NYX agnel/castello/duthoit;e27 musiques nouvelles
2022-04-09;nass zell flux;diverse badezimmer
2022-04-10;bertoncini/lehn & wolfgang mitterer;tonspur festival / anitta-m...
2022-04-11;Trio NYX;spectart
2022-04-11;monday improvisers session;celeste
2022-04-12;NYX (agnel/duhtoit/castello)/ GGRIL  (Gran...;la sala rossa
2022-04-13;Cauliflower Sound Festival;akademie der bildenden kün...
2022-04-14;Cauliflower Sound Festival;akademie der bildenden kün...
2022-04-15;Cauliflower Sound Festival;akademie der bildenden kün...
2022-04-15;schnelle antwort;tankkeller
2022-04-16;opening: Klang, Bild und Prozess;kuenstlerhaus
2022-04-17;bulbul + baits;container 25
2022-04-17;Female Subversion Is Here to Stay: Deren |...;filmmuseum
2022-04-18;monday improvisers session;celeste
2022-04-20;18h!! DerBloedeDritteMittwoch#117 @ ROTOR;kuenstlerhaus
2022-04-21;free music forum: Jasna Jovićević & An...;celeste
2022-04-22;on the couch #66 - Eberhard/Gross/Owczarek;studio eberhard
2022-04-23;KNH-Shorts 8: Astrid Rothaug;echoraeume fs2
2022-04-24;Antonietta Loffredo - Toy Piano;st. ruprecht (neue musik in)
2022-04-24;KNH-Sonntagskind24: Gruber;echoraeume fs2
2022-04-24;[screening] one corner of paradise;dokumentarfilmwoche
2022-04-25;monday improvisers session;celeste
2022-04-25;KNH-Darkroom9 // 9pm;echoraeume fs2
2022-04-26;KNH-Stories5;echoraeume fs2
2022-04-29;kaleidofon;jazzatelier
2022-04-29;Tiziana Bertoncini, Jakob Gnigler, Soizic ...;alte schmiede
2022-04-30;kaleidofon;jazzatelier
2022-04-30;stefan geissler trio;flucc
2022-04-30;20:20h salongarnison7: Judith Unterpertinger;echoraum
2022-04-30;JSB Trio;sargfabrik
2022-05-01;kaleidofon;jazzatelier
2022-05-01;AiR - Artists in Residence | Duo Ar;st. ruprecht (neue musik in)
2022-05-01;Castelló / Stangl / Fennesz / Kutin@ tonspur;tonspur festival / anitta-m...
2022-05-02;[screening] THE;indielisboa
2022-05-02;monday improvisers session;celeste
2022-05-03;XX Y X: soundsongnoisesilence;echoraum
2022-05-05;free music forum: obdo - Frédéric Blondy...;celeste
2022-05-06;twixt;cafe oto
2022-05-06;Katharina Klement, solo - Spiegel (2021) K...;salon garnison
2022-05-07;Lorbeer (UA);kammertheater
2022-05-07;Michaela Grill - Inside the Frame exhibtio...;verksmiðjan
2022-05-08;Elisabeth Harnik 'Earscratcher' (A/USA);porgy&bess
2022-05-09;monday improvisers session;celeste
2022-05-10;SUENA FESTIVAL;instituto cervantes
2022-05-11;SUENA FESTIVAL;instituto cervantes
2022-05-12;Styrian Improvisers Orchestra Feat. Fiston...;stockwerk
2022-05-12;Rhys Chatham with David Fenech, Martin Sie...;replugged
2022-05-12;SUENA FESTIVAL;instituto cervantes
2022-05-12;TTTOXic Paradise 2022 Tag I;zacherlfabrik
2022-05-13;VELAK Gala #119;ateliertheater
2022-05-13;das kleine symposion 2022 - stoff - 1;echoraum
2022-05-13;Michaela Grill / Sophie Trudeau;verksmiðjan
2022-05-13;TTTOXic Paradise 2022 Tag II;zacherlfabrik
2022-05-13;on the couch #68 - Eberhard & Zalech;studio eberhard
2022-05-14;das kleine symposion 2022 - stoff - 2;echoraum
2022-05-14;TTTOXic Paradise 2022 Tag III;zacherlfabrik
2022-05-15;Michaela Grill / Sophie Trudeau;mengi
2022-05-15;pussy riot, gartmayer/dieb13;alte gerberei
2022-05-16;monday improvisers session;celeste
2022-05-17;Styrian Improvisers Orchestra Feat. GGRILL;stockwerk
2022-05-17;Ka Baird;rhiz
2022-05-17;Flamingo · Antonia Sophia Manhartsberger;echoraum
2022-05-18;19h!! DerBloedeDritteMittwoch#118;ateliertheater
2022-05-18;Aljamosuthovi & Klarinettentrio;martinschloessl
2022-05-18;Fingerstyle guitar: Gwenifer Raymond (UK) ...;celeste
2022-05-19;free music forum: Harnik & Gasser & Trilla;celeste
2022-05-19;Xenakis 2022: Back to the Roots;klangtheater
2022-05-19;20h Ingrid Schmoliner, solo - MNEEM (2021)...;salon garnison
2022-05-20;30 Jahre Asylkoordination->KMET/christoph&...;badeschiff
2022-05-20;DDK-Trio;echoraum
2022-05-20;Xenakis 2022: Back to the Roots;fanny hensel-mendelssohn-sa...
2022-05-20;Xenakis 2022: Back to the Roots;klangtheater
2022-05-20;on the couch #69 - Rina Kaçinari/Jörg Mi...;studio eberhard
2022-05-21;22jahre.klingt.org;flucc
2022-05-21;das kleine symposion 2022 - stoff - 3;echoraum
2022-05-21;Xenakis 2022: Back to the Roots;klangtheater
2022-05-21;RADIAN (brandlmayr / norman / siewert) Fes...;auditorio de tenerife adan ...
2022-05-22;Stump-Linshalm - contemplari;st. ruprecht (neue musik in)
2022-05-23;lyrik im mai;echoraeume
2022-05-23;monday improvisers session;celeste
2022-05-24;thomas bernhard machine;burghof
2022-05-24;Tarek Atoui - SOUFFLE CONTINU - Music& Vis...;ruprechtskirche
2022-05-25;Saadet Türköz & Didi Kern;porgy&bess
2022-05-25;thomas bernhard machine;rabenhof
2022-05-25;lost north;fylkingen
2022-05-25;KNH-Signs over Wo:men #4: Last Man Standing;cafe max
2022-05-26;noism matters;echoraum
2022-05-28;Raketenfestival;raketenstation hombroich
2022-05-28;20.00 Studio Session #3;westbahnstudios
2022-05-29;KNH-Sonntagskind25: Sigrid Horn, Clemens S...;echoraeume fs2
2022-05-29;Raketenfestival;raketenstation hombroich
2022-05-30;monday improvisers session;celeste
2022-05-30;moozak multichannel series #01 / elak conc...;klangtheater
2022-05-30;Vienna Klezmer Session im Kulturcafé Max;???
2022-05-31;"KMET solo ""You treat me ike you""";museum walzengravieranstalt
2022-06-01;synklavia / tuning voices;alte schmiede
2022-06-02;Modulometer;echoraum
2022-06-03;Nachhall#2: Musik und ihre Instrumente in ...;echoraum
2022-06-04;alle seine entlein;tjg - theater junge generation
2022-06-06;glimgrill;breitenseer lichtspiele
2022-06-06;monday improvisers session;celeste
2022-06-07;It's a wild world - Michaela Grill;künstlerhaus
2022-06-09;finstergewaechs;dramatikerinnenfestival
2022-06-09;free music forum: Mariá Portugal & Angeli...;celeste
2022-06-10;billy roisz / keiko yamamoto;kunsthalle duesseldorf
2022-06-10;finstergewaechs;dramatikerinnenfestival
2022-06-10;poème électronique#38;echoraum
