Verein	Jahr	Betrag_EUR	Förderung_Bezirk	Projekttitel	Status	Quelle
Kunstverein KLANGWERK	2024	1000	7	Die Farbe der Töne 	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Kunstverein KLANGWERK	2024	3500	8	Musikalische Momente in der Josefstadt	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Kunstverein KLANGWERK	2024	2500	9	"Lauschklang 2024
| NoMaden der Vielfalt am Spittelauer Platz

"	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Kunstverein KLANGWERK	2024	1500	10	Klingender Wasserturm	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Kunstverein KLANGWERK	2024	1500	12	Tönende NoMaden	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Kunstverein KLANGWERK	2024	800	16	NoMaden im Gleichschritt	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Kunstverein KLANGWERK	2024	1000	17	Die TraumNoMaden am Alszeilenmarkt	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Kunstverein KLANGWERK	2024	1500	18	NoMaden des Seins	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Kunstverein KLANGWERK	2024	500	19	TUWienerische Gesänge	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Kunstverein KLANGWERK	2024	1800	20	Die SeinsNoMaden am Hannovermarkt	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Kunstverein KLANGWERK	2025	21300	[nicht dokumentiert]	[nicht dokumentiert]	Bestätigt	Transparenzportal IFG 2025
Kunstverein KLANGWERK	2026	16800	[nicht dokumentiert]	[nicht dokumentiert]	Bestätigt	Transparenzportal IFG 2026
WUK - Verein zur Schaffung offener Kultur- und Werkstättenhäuser, Kurzbezeichnung WUK Werkstätten- und Kulturhaus	2022	900	9	Abenteuer im Koffer	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
WUK - Verein zur Schaffung offener Kultur- und Werkstättenhäuser, Kurzbezeichnung WUK Werkstätten- und Kulturhaus	2023	1800	9	Common Ground Severingasse	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
Althangrund - Verein für Kultur-, Wohn- und Sozialraum für Alle, Kurzform: Althangrund für alle!	2022	2800	9	Althangrund für Alle – ein kurzer Sommer der Utopie	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Althangrund - Verein für Kultur-, Wohn- und Sozialraum für Alle, Kurzform: Althangrund für alle!	2023	1600	9	Kulturzentrum für Alle	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
Althangrund - Verein für Kultur-, Wohn- und Sozialraum für Alle, Kurzform: Althangrund für alle!	2024	1500	9	Kultursommer 4 Alle – Alsergrunder Kultursommer 2024	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
Althangrund - Verein für Kultur-, Wohn- und Sozialraum für Alle, Kurzform: Althangrund für alle!	2025	2000	[nicht dokumentiert]	[nicht dokumentiert]	Bestätigt	Transparenzportal IFG 2025
Althangrund - Verein für Kultur-, Wohn- und Sozialraum für Alle, Kurzform: Althangrund für alle!	2026	1500	[nicht dokumentiert]	[nicht dokumentiert]	Bestätigt	Transparenzportal IFG 2026
Central Garden	2022	1000	2	Kanal #41.2	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Central Garden	2023	1500	2	Little Donau III	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research	2022	3000	10	Jahresprogramm 2022	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
ECHOLOT - Kulturverein für transdisziplinäre Kunst & Artistic Research	2023	6000	10	Jahresprogramm	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
