Verein	Jahr	Betrag_EUR	Förderung_Bezirk	Projekttitel	Status	Quelle
Pia Maria Palme	2024	500	19	OR IS IT MICROBIOLOGY	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
SISTERS - Verein für queer feministische Kunst und Kultur	2023	1500	2	"SISTERS+ Club Night @ VISIBILITY & SPACE für QUEER PEOPLE
"	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
Studio Dan - Verein für Neue Musik	2022	1500	20	FEMINE – Eine musikalisch-choreografische Intervention im Außenraum mit Studio Dan in Kooperation mit Impulstanz	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
SUENA - Verein zur Förderung und Verbreitung neuer Musik	2023	500	9	SUENA FESTIVAL für zeitgenössische iberoamerikanische Musik 2023	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
tonWerk - Forum für Neue Musik	2023	1000	13	Hietzinger Schlosskonzert	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
tonWerk - Forum für Neue Musik	2023	1500	13	Hietzinger Konzerte	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
tonWerk - Forum für Neue Musik	2022	1500	13	Hietzinger Museumskonzerte	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
tonWerk - Forum für Neue Musik	2023	800	14	Penzinger Museumskonzerte	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
tonWerk - Forum für Neue Musik	2022	800	14	Penzinger Museumskonzerte 22	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
tonWerk - Forum für Neue Musik	2022	1500	18	Währinger Hausmusik 22	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Verein für experimentelle improvisierte Musik (VEIM)	2022	1084.59	5	Monday Improvisers Session	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Verein für experimentelle improvisierte Musik (VEIM)	2023	600	5	Konzert „Monday Improvisers Session“	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2023, Dezentrale Bezirkskulturförderungen
Vincent Pongracz	2022	3000	8	Synesthetic Wednesday	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2022, Dezentrale Bezirkskulturförderungen
Vincent Pongracz	2024	3000	16	Synesthetic Wednesday	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht 2024, Dezentrale Bezirkskulturförderungen
ARGE Komponistenforum Mittersill	2023	1300	5	VOICES – STIMMEN, Abschlusskonzert des 26. Komponist*innenforum Mittersill in Wien	Bestätigt	Kunst-, Kultur- und Wissenschaftsbericht der Stadt Wien 2023
