Fuente	Jahr	Betrag_EUR
BMKöS	2022	1536530.0
BMKöS	2023	1779730.0
BMKöS	2024	1522750.0
BMWKmS	2026	160000.0
BMWKmS	2027	60000.0
Bezirkskultur	2024	1500.0
MA7	2022	2009300.0
MA7	2023	3083500.0
MA7	2024	2550000.0
MA7	2025	3588517.0
MA7	2026	2909500.0
